Componente;Resultado;Producto N°;Descripción;Cultivos Asociados;Avance Identificado;Estado;Evidencia
"Componente 2. Mejoramiento genético, técnicas de manejo de cultivos y otras opciones tecnológicas y su escalada para aumentar la resiliencia climática y promover el desarrollo agrícola bajo en carbono.

";"Resultado 2.2. Uso más eficiente de los recursos hídricos, restauración de las propiedades del suelo y mejora de las prácticas de mitigación de GEI por parte de agricultores y gremios a través de la adopción de nuevas prácticas y tecnologías climáticamente inteligentes
";34;Sistemas ganaderos sostenibles en 3840 ha;Ganadería;Implementación por fases, monitoreo por gremios;En curso (1.920 ha cubiertas);Protocolo de cuantificación huella hídrica y monitoreo en 3 regiones
"Componente 2. Mejoramiento genético, técnicas de manejo de cultivos y otras opciones tecnológicas y su escalada para aumentar la resiliencia climática y promover el desarrollo agrícola bajo en carbono.

";"Resultado 2.2. Uso más eficiente de los recursos hídricos, restauración de las propiedades del suelo y mejora de las prácticas de mitigación de GEI por parte de agricultores y gremios a través de la adopción de nuevas prácticas y tecnologías climáticamente inteligentes
";35;Modelos sostenibles en 5750 ha en 33 zonas;Arroz, maíz, papa, caña panelera, banano, plátano;Parcelas implementadas con estrategias sostenibles;En implementación gradual;Diseño experimental con sensores y monitoreo GEI
Componente 3. Modelos de negocio innovadores e inclusivos a través de sistemas de innovación modernizados y un sector financiero más comprometido  ;"Resultado 3.1. Modelos de negocio mejorados que proporcionan a los agricultores ganancias razonables y mejores prácticas de mitigación de GEI
";36;Ocho gremios fortalecidos en toma de decisiones;Multisectorial;Fortalecimiento institucional y mayor participación en espacios de gobernanza;Implementación en marcha;Participación gremial en Mesas Técnicas y redes institucionales
Componente 3. Modelos de negocio innovadores e inclusivos a través de sistemas de innovación modernizados y un sector financiero más comprometido  ;"Resultado 3.1. Modelos de negocio mejorados que proporcionan a los agricultores ganancias razonables y mejores prácticas de mitigación de GEI
";37;Ocho estrategias para resiliencia climática y reducción GEI;Multicultivo;Estrategias codiseñadas con gremios para mitigación y adaptación;Diseño colaborativo y validación;Planes y estrategias vinculadas a actores locales y mesas agroclimáticas
Componente 3. Modelos de negocio innovadores e inclusivos a través de sistemas de innovación modernizados y un sector financiero más comprometido  ;"Resultado 3.1. Modelos de negocio mejorados que proporcionan a los agricultores ganancias razonables y mejores prácticas de mitigación de GEI
";38;Ocho modelos de negocio enfocados en adaptación y reducción de GEI;Multicultivo;Diseño de modelos y validación en zonas piloto;Diseño y prueba inicial;Resultados preliminares de implementación de modelos de negocio resilientes
Componente 3. Modelos de negocio innovadores e inclusivos a través de sistemas de innovación modernizados y un sector financiero más comprometido  ;"Resultado 3.1. Modelos de negocio mejorados que proporcionan a los agricultores ganancias razonables y mejores prácticas de mitigación de GEI
";39;Cuatro instituciones financieras participan en MTA y usan información del proyecto;Multicultivo;Vinculación en mesas y uso parcial de información técnica para decisiones;En articulación institucional;Participación de entidades financieras en acciones del componente 3
Componente 3. Modelos de negocio innovadores e inclusivos a través de sistemas de innovación modernizados y un sector financiero más comprometido  ;"Resultado 3.1. Modelos de negocio mejorados que proporcionan a los agricultores ganancias razonables y mejores prácticas de mitigación de GEI
";40;Una nueva empresa creada basada en tecnologías digitales;No específico;"En proceso de identificación; referencia conceptual incluida";Etapa de diseño e ideación;Mencionado en componente 3 como acción prevista sin confirmación de ejecución
Componente 3. Modelos de negocio innovadores e inclusivos a través de sistemas de innovación modernizados y un sector financiero más comprometido  ;"Resultado 3.2. Asistencia técnica modernizada y servicios de extensión agrícola con estrategias multiherramienta, diferenciadas y adaptadas a contextos ambientales, sociales, de género y productivos específicos a nivel nacional
";41;54.000 productores fortalecidos en la implementación de tecnologías resilientes y bajas en carbono;Multicultivo;"129 talleres realizados y 2.484 personas capacitadas en maíz; muchas también para otros cultivos";Fortalecimiento en marcha;Informe parcial: 1.482 agricultores, 659 técnicos/profesionales capacitados
Componente 3. Modelos de negocio innovadores e inclusivos a través de sistemas de innovación modernizados y un sector financiero más comprometido  ;"Resultado 3.2. Asistencia técnica modernizada y servicios de extensión agrícola con estrategias multiherramienta, diferenciadas y adaptadas a contextos ambientales, sociales, de género y productivos específicos a nivel nacional
";42;30 materiales de sensibilización para apoyar formación con 6.000 copias;Multicultivo;Cartillas y documentos técnicos desarrollados, con énfasis en forrajes y prácticas agroecológicas;Diseño y producción en curso;Cartilla Sinchimaki y otros materiales en evaluación
Componente 3. Modelos de negocio innovadores e inclusivos a través de sistemas de innovación modernizados y un sector financiero más comprometido  ;"Resultado 3.2. Asistencia técnica modernizada y servicios de extensión agrícola con estrategias multiherramienta, diferenciadas y adaptadas a contextos ambientales, sociales, de género y productivos específicos a nivel nacional
";43;4.400 técnicos fortalecidos en capacidades de adaptación y mitigación;Multicultivo;Talleres realizados para técnicos, vinculados a estrategias climáticas y uso de tecnologías digitales;Capacitación en marcha;Capacitación de técnicos y reportes detallados en eventos de maíz
Componente 3. Modelos de negocio innovadores e inclusivos a través de sistemas de innovación modernizados y un sector financiero más comprometido  ;"Resultado 3.2. Asistencia técnica modernizada y servicios de extensión agrícola con estrategias multiherramienta, diferenciadas y adaptadas a contextos ambientales, sociales, de género y productivos específicos a nivel nacional
";44;Tres comunidades de práctica creadas y en funcionamiento;Multicultivo;Mencionadas comunidades de práctica para comunicaciones y saberes climáticos;Formación en marcha;Comunidades como la de Comunicación y saberes ancestrales activas
Componente 3. Modelos de negocio innovadores e inclusivos a través de sistemas de innovación modernizados y un sector financiero más comprometido  ;"Resultado 3.2. Asistencia técnica modernizada y servicios de extensión agrícola con estrategias multiherramienta, diferenciadas y adaptadas a contextos ambientales, sociales, de género y productivos específicos a nivel nacional
";45;60 entidades agropecuarias fortalecidas en adaptación y mitigación;Multicultivo;Trabajo articulado con gremios como Fedepapa, Cenicaña y Cenicafé para planes de fortalecimiento;Articulación y codiseño;Planes de acción con gremios desarrollados y en implementación
